VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,1750.0,17.99,68294,967725.98,75147.0,1323223.53,138074.09,89286.27,128137.19000000003,9.68371458751191,1.100345564764108,1.3673535250133515
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,750.0,18.99,69299,953554.24,70603.0,1355204.97,55584.909999999996,144929.24,201136.58,14.841782937085894,1.0188170103464695,1.4212143506383024
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,750.0,22.99,52932,843206.76,53206.0,1255188.94,41888.06,68601.68,301492.43999999994,24.019685833114494,1.0051764528073754,1.4885897499208853
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,750.0,26.99,41048,839431.6,37615.0,1034144.85,29615.6,123880.97,41216.68,3.9855809367517523,0.9163662054180471,1.231958446644134
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,1750.0,23.99,44198,757553.72,43533.0,1093841.67,79984.58,50293.62,206009.74999999994,18.833598650524983,0.984954070319924,1.4439130072518158
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,1750.0,67.99,13759,742435.64,13210.0,910688.8999999999,24275.31,123780.22,20197.72999999989,2.217851782315552,0.960098844392761,1.2266233609151629
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,750.0,22.99,41893,736897.87,41506.0,967005.94,32678.12,257032.07,-59602.12000000005,-6.163573307522812,0.990762179839114,1.3122658910657456
17035,PERNOD RICARD USA,5365,Kahlua,14.84,750.0,18.99,48583,720971.72,48615.0,932815.85,38272.73,123780.22,49791.18,5.3377287703677,1.0006586666117778,1.2938314002108156
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,1750.0,19.99,50962,710919.9,64266.0,1210481.34,118078.45,257032.07,124450.92000000006,10.281110157385825,1.2610572583493584,1.7026972236956655
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,1750.0,17.99,48481,692308.68,47805.0,875307.95,87832.83,79528.99,15637.449999999895,1.7865083939886408,0.9860563932262123,1.2643319017753756
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,1750.0,12.99,71899,691668.38,70351.0,914148.49,129253.37,50293.62,42933.119999999995,4.696514895517685,0.9784697979109584,1.3216571935816988
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,1750.0,12.99,73227,689066.07,72043.0,948838.57,132364.71,79528.99,47878.80000000002,5.046042763628382,0.9838311005503435,1.376992151130007
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,750.0,12.99,80030,675453.2,78392.0,1095045.04,8799.82,144929.24,265862.7800000001,24.278707294085372,0.9795326752467824,1.6212004621489693
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,1750.0,9.99,81447,645874.71,81723.0,816412.77,150149.63,55551.82,-35163.389999999956,-4.307060263155849,1.0033887067663634,1.2640420152075627
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,1000.0,29.99,32554,645871.36,32064.0,937915.36,33667.2,68601.68,189775.12,20.233714905788514,0.9849480862566812,1.4521705374890752
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,1750.0,16.99,47654,642375.92,47446.0,902489.5399999999,87173.56999999999,257032.07,-84092.02000000012,-9.317783339627418,0.9956352037604398,1.4049243004003011
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,1750.0,10.49,86887,624717.53,86195.0,899110.55,158367.21,17932.33,98093.48000000001,10.910057723157626,0.9920356324881743,1.439227341675525
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,1500.0,8.99,101547,612328.41,101339.0,1016328.61,22776.05,79528.99,301695.16,29.6848044059293,0.9979516873959842,1.6597769977715062
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,750.0,28.99,30830,611358.9,29647.0,748067.53,23348.15,257032.07,-143671.59,-19.205697913395596,0.9616282841388258,1.223614361384123
